MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
2025-03-06 23:00:00,동대문구,0.015,0.0462,0.5,0.0024,65.0,43.0
2025-03-06 23:00:00,은평구,0.0166,0.0368,0.72,0.0033,66.0,40.0
2025-03-06 23:00:00,금천구,0.0258,0.0398,0.49,0.0031,58.0,39.0
2025-03-06 23:00:00,성동구,0.0213,0.0423,0.5,0.0028,57.0,37.0
2025-03-06 23:00:00,강동구,0.0244,0.0428,0.71,0.0036,68.0,52.0
2025-03-06 23:00:00,도봉구,0.0148,0.0554,0.5,0.0043,61.0,38.0
2025-03-06 23:00:00,종로구,0.0161,0.0505,0.52,0.0028,67.0,49.0
2025-03-06 23:00:00,중랑구,0.0248,0.0357,0.53,0.0032,59.0,45.0
2025-03-06 23:00:00,영등포구,0.0157,0.0506,0.46,0.003,57.0,39.0
2025-03-06 23:00:00,동작구,0.0172,0.0521,0.46,0.0029,65.0,45.0
2025-03-06 23:00:00,광진구,0.0208,0.0491,0.57,0.0034,58.0,39.0
2025-03-06 23:00:00,양천구,0.0316,0.0346,0.55,0.0036,60.0,46.0
2025-03-06 23:00:00,마포구,0.0241,0.0407,0.5,0.003,59.0,41.0
2025-03-06 23:00:00,송파구,0.0248,0.0372,0.52,0.0031,59.0,39.0
2025-03-06 23:00:00,강서구,0.0322,0.0321,0.5,0.0041,63.0,40.0
2025-03-06 23:00:00,구로구,0.0147,0.0395,0.42,0.0032,66.0,44.0
2025-03-06 23:00:00,노원구,0.0114,0.0519,0.44,0.0028,72.0,51.0
2025-03-06 23:00:00,서대문구,0.0143,0.0492,0.65,0.0045,62.0,39.0
2025-03-06 23:00:00,관악구,0.0211,0.043,0.53,0.0029,61.0,45.0
2025-03-06 23:00:00,용산구,0.0247,0.0337,0.6,0.0031,60.0,41.0
2025-03-06 23:00:00,성북구,0.0259,0.036,0.73,0.0036,59.0,37.0
2025-03-06 23:00:00,강북구,0.0133,0.0527,0.45,0.003,68.0,48.0
2025-03-06 23:00:00,서초구,0.0094,0.0497,0.41,0.0028,69.0,42.0
2025-03-06 23:00:00,강남구,0.0207,0.0392,0.51,0.0027,56.0,40.0
2025-03-06 23:00:00,중구,0.0159,0.0422,0.49,0.0031,62.0,47.0
2025-03-06 22:00:00,강서구,0.0211,0.0431,0.46,0.0031,59.0,37.0
2025-03-06 22:00:00,동대문구,0.0148,0.0477,0.49,0.0027,64.0,40.0
2025-03-06 22:00:00,양천구,0.0324,0.0343,0.54,0.0032,57.0,43.0
2025-03-06 22:00:00,광진구,0.0171,0.0539,0.52,0.0035,58.0,40.0
2025-03-06 22:00:00,강남구,0.0194,0.0406,0.49,0.0029,57.0,36.0
2025-03-06 22:00:00,서대문구,0.0136,0.0526,0.56,0.004,61.0,37.0
2025-03-06 22:00:00,중구,0.0152,0.0453,0.51,0.0032,56.0,44.0
2025-03-06 22:00:00,노원구,0.0132,0.0503,0.45,0.0029,70.0,48.0
2025-03-06 22:00:00,중랑구,0.0191,0.0418,0.49,0.0038,60.0,45.0
2025-03-06 22:00:00,성동구,0.0189,0.0453,0.48,0.003,50.0,35.0
2025-03-06 22:00:00,강동구,0.0175,0.0506,0.66,0.0035,64.0,46.0
2025-03-06 22:00:00,종로구,0.0169,0.0507,0.53,0.0028,64.0,49.0
2025-03-06 22:00:00,서초구,0.008,0.0527,0.4,0.0028,70.0,33.0
2025-03-06 22:00:00,금천구,0.0246,0.0407,0.48,0.0034,55.0,38.0
2025-03-06 22:00:00,은평구,0.0164,0.0386,0.71,0.0033,61.0,37.0
2025-03-06 22:00:00,강북구,0.0097,0.0582,0.42,0.0032,66.0,46.0
2025-03-06 22:00:00,성북구,0.0253,0.0375,0.71,0.0035,57.0,37.0
2025-03-06 22:00:00,용산구,0.023,0.0358,0.55,0.0035,55.0,36.0
2025-03-06 22:00:00,마포구,0.0219,0.0436,0.48,0.0029,54.0,37.0
2025-03-06 22:00:00,구로구,0.014,0.0405,0.4,0.0031,73.0,42.0
2025-03-06 22:00:00,동작구,0.0168,0.053,0.45,0.0025,62.0,41.0
2025-03-06 22:00:00,영등포구,0.016,0.0509,0.46,0.0027,53.0,37.0
2025-03-06 22:00:00,관악구,0.018,0.0451,0.5,0.0028,59.0,43.0
2025-03-06 22:00:00,도봉구,0.0103,0.0606,0.49,0.004,61.0,37.0
2025-03-06 22:00:00,송파구,0.0222,0.0406,0.48,0.0027,56.0,39.0
2025-03-06 21:00:00,동대문구,0.0137,0.0506,0.45,0.0024,60.0,37.0
2025-03-06 21:00:00,성북구,0.0174,0.0463,0.66,0.0036,60.0,33.0
2025-03-06 21:00:00,도봉구,0.0098,0.0628,0.48,0.0041,61.0,41.0
2025-03-06 21:00:00,중랑구,0.0206,0.0412,0.52,0.0033,57.0,43.0
2025-03-06 21:00:00,광진구,0.0151,0.0562,0.5,0.0035,54.0,39.0
2025-03-06 21:00:00,마포구,0.0207,0.0444,0.42,0.0028,50.0,38.0
2025-03-06 21:00:00,서대문구,0.015,0.0518,0.53,0.0039,58.0,33.0
2025-03-06 21:00:00,관악구,0.0232,0.0397,0.53,0.0026,62.0,47.0
2025-03-06 21:00:00,용산구,0.0186,0.0402,0.5,0.0032,53.0,36.0
2025-03-06 21:00:00,동작구,0.0265,0.0423,0.48,0.0028,60.0,39.0
2025-03-06 21:00:00,종로구,0.0168,0.0517,0.46,0.0027,60.0,47.0
2025-03-06 21:00:00,강서구,0.0182,0.0456,0.43,0.003,57.0,31.0
2025-03-06 21:00:00,강남구,0.0158,0.0448,0.45,0.0027,55.0,37.0
2025-03-06 21:00:00,성동구,0.0172,0.0461,0.46,0.0034,53.0,33.0
2025-03-06 21:00:00,구로구,0.0143,0.0399,0.37,0.0031,57.0,36.0
