MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
2024-01-01 23:00:00,동대문구,0.023,0.0223,0.66,0.0031,35.0,29.0
2024-01-01 23:00:00,은평구,0.0289,0.0105,1.2,0.0029,37.0,28.0
2024-01-01 23:00:00,금천구,0.0428,0.0057,0.84,0.0031,35.0,30.0
2024-01-01 23:00:00,성동구,0.021,0.0253,0.56,0.0021,33.0,28.0
2024-01-01 23:00:00,강동구,0.037,0.0144,0.96,0.0023,0.0,29.0
2024-01-01 23:00:00,도봉구,0.0156,0.0313,0.69,0.003,30.0,26.0
2024-01-01 23:00:00,종로구,0.0183,0.0265,0.61,0.0032,30.0,30.0
2024-01-01 23:00:00,중랑구,0.025,0.0249,0.6,0.0023,30.0,26.0
2024-01-01 23:00:00,영등포구,0.0261,0.0198,0.62,0.0034,32.0,31.0
2024-01-01 23:00:00,동작구,0.0355,0.013,0.6,0.0029,30.0,28.0
2024-01-01 23:00:00,광진구,0.0257,0.0292,0.76,0.0027,29.0,27.0
2024-01-01 23:00:00,양천구,0.0327,0.0143,0.69,0.0034,38.0,35.0
2024-01-01 23:00:00,마포구,0.0376,0.0092,0.7,0.0035,0.0,32.0
2024-01-01 23:00:00,송파구,0.0414,0.0071,0.71,0.0027,26.0,19.0
2024-01-01 23:00:00,강서구,0.0305,0.0141,0.63,0.004,38.0,29.0
2024-01-01 23:00:00,구로구,0.0199,0.0143,0.57,0.0027,38.0,38.0
2024-01-01 23:00:00,노원구,0.0181,0.027,0.58,0.0029,33.0,27.0
2024-01-01 23:00:00,서대문구,0.0249,0.0177,0.95,0.0035,37.0,32.0
2024-01-01 23:00:00,관악구,0.0283,0.0192,0.71,0.003,46.0,33.0
2024-01-01 23:00:00,용산구,0.0206,0.0264,0.66,0.003,33.0,26.0
2024-01-01 23:00:00,성북구,0.0222,0.018,0.74,0.0025,0.0,35.0
2024-01-01 23:00:00,강북구,0.0133,0.0319,0.57,0.0027,28.0,26.0
2024-01-01 23:00:00,서초구,0.0268,0.0144,0.57,0.0027,36.0,33.0
2024-01-01 23:00:00,강남구,0.024,0.028,0.6,0.003,38.0,30.0
2024-01-01 23:00:00,중구,0.0237,0.0187,0.6,0.0033,0.0,32.0
2024-01-01 22:00:00,강서구,0.0369,0.01,0.69,0.0044,33.0,28.0
2024-01-01 22:00:00,동대문구,0.0238,0.0236,0.68,0.0034,28.0,22.0
2024-01-01 22:00:00,양천구,0.0391,0.0094,0.72,0.0036,35.0,32.0
2024-01-01 22:00:00,광진구,0.0454,0.0109,0.89,0.0027,25.0,20.0
2024-01-01 22:00:00,강남구,0.035,0.014,0.7,0.003,27.0,24.0
2024-01-01 22:00:00,서대문구,0.0272,0.0185,0.94,0.0035,34.0,26.0
2024-01-01 22:00:00,중구,0.0249,0.02,0.59,0.0033,0.0,25.0
2024-01-01 22:00:00,노원구,0.0227,0.0238,0.6,0.0034,29.0,25.0
2024-01-01 22:00:00,중랑구,0.0319,0.0189,0.65,0.0024,26.0,23.0
2024-01-01 22:00:00,성동구,0.0308,0.0163,0.6,0.0023,28.0,22.0
2024-01-01 22:00:00,강동구,0.0509,0.0022,1.09,0.0024,26.0,25.0
2024-01-01 22:00:00,종로구,0.0235,0.0235,0.65,0.0029,26.0,24.0
2024-01-01 22:00:00,서초구,0.0331,0.0095,0.58,0.0027,34.0,28.0
2024-01-01 22:00:00,금천구,0.0396,0.0075,0.77,0.003,29.0,22.0
2024-01-01 22:00:00,은평구,0.0284,0.0128,1.23,0.0029,31.0,27.0
2024-01-01 22:00:00,강북구,0.013,0.0327,0.54,0.0026,24.0,21.0
2024-01-01 22:00:00,성북구,0.0199,0.0251,0.7,0.0024,28.0,28.0
2024-01-01 22:00:00,용산구,0.0284,0.0179,0.71,0.0028,24.0,19.0
2024-01-01 22:00:00,마포구,0.0385,0.0082,0.69,0.0034,0.0,28.0
